periode,wilayah,harga,komoditas
2024-04-30,Jakarta Utara,33804,Jeruk Medan
2024-04-30,Jakarta Utara,140681,Daging Kambing
2024-04-30,Jakarta Utara,111868,Daging Babi Berlemak
2024-04-30,Jakarta Utara,40935,Ikan Bandeng (sedang)
2024-04-30,Jakarta Utara,37019,Ikan Mas
2024-04-30,Jakarta Utara,28052,Ikan Lele
2024-04-30,Jakarta Utara,21992,Gas Elpiji 3kg
2024-04-30,Jakarta Utara,43863,Susu Bubuk Bendera 400gr
2024-04-30,Jakarta Utara,50692,Susu Bubuk Dancow 400gr
2024-04-30,Jakarta Utara,15377,Susu Kental Bendera 200gr
2024-04-30,Jakarta Utara,11262,Susu Kental Enak 200gr
2024-04-30,Jakarta Utara,17417,Margarin Blueband Cup
2024-04-30,Jakarta Utara,12065,Margarin Blueband Sachet
2024-04-30,Jakarta Barat,16111,Beras IR I (IR 64)
2024-04-30,Jakarta Barat,14726,Beras IR II (IR 64) Ramos
2024-04-30,Jakarta Barat,13620,Beras IR III (IR 64)
2024-04-30,Jakarta Barat,15652,Beras Muncul I
2024-04-30,Jakarta Barat,16264,Beras IR 42/Pera
2024-04-30,Jakarta Barat,15361,Beras Setra I/Premium
2024-04-30,Jakarta Barat,16921,Minyak Goreng (Kuning/Curah)
2024-04-30,Jakarta Barat,49172,Cabe Merah Keriting
2024-04-30,Jakarta Barat,63997,Cabe Merah Besar (TW)
2024-04-30,Jakarta Barat,47428,Cabe Rawit Merah
2024-04-30,Jakarta Barat,45182,Cabe Rawit Hijau
2024-04-30,Jakarta Barat,58466,Bawang Merah
2024-04-30,Jakarta Barat,44374,Bawang Putih
2024-04-30,Jakarta Barat,147068,Daging Sapi Has (Paha Belakang)
2024-04-30,Jakarta Barat,140105,Daging Sapi Murni (Semur)
2024-04-30,Jakarta Barat,40989,Ayam Broiler/Ras
2024-04-30,Jakarta Barat,29615,Telur Ayam Ras
2024-04-30,Jakarta Barat,17806,Gula Pasir
2024-04-30,Jakarta Barat,12064,Tepung Terigu
2024-04-30,Jakarta Barat,4286,Garam Dapur
2024-04-30,Jakarta Barat,19684,Kentang (sedang)
2024-04-30,Jakarta Barat,27107,Tomat Buah
2024-04-30,Jakarta Barat,9375,Kelapa Kupas
2024-04-30,Jakarta Barat,11550,Semangka
2024-04-30,Jakarta Barat,25643,Jeruk Medan
2024-04-30,Jakarta Barat,150000,Daging Kambing
2024-04-30,Jakarta Barat,112780,Daging Babi Berlemak
2024-04-30,Jakarta Barat,42311,Ikan Bandeng (sedang)
2024-04-30,Jakarta Barat,39777,Ikan Mas
2024-04-30,Jakarta Barat,29731,Ikan Lele
2024-04-30,Jakarta Barat,22066,Gas Elpiji 3kg
2024-04-30,Jakarta Barat,28026,Susu Bubuk Bendera 400gr
2024-04-30,Jakarta Barat,42608,Susu Bubuk Dancow 400gr
